番組ID,番組分類,番組名,摘要,放映順,楽曲ID,楽曲名,歌手名
12529,"TV","アイアンマン","OP","",66404,"Activation","(インストゥルメンタル)"
12529,"TV","アイアンマン","ED","",66405,"The Fight Never Ends","(インストゥルメンタル)"
4999,"TV","i-wish you were here-","ED","",21001,"Lunatic Trance~静かなる絶叫","en avant"
15963,"TV","あいうら","OP","",81498,"カニ☆Do-Luck!","あいう♥らぶ"
15963,"TV","あいうら","ED","スポット放映",82079,"ずっとね","あいう♥らぶ"
15963,"TV","あいうら","ED","",81499,"いちごいちえ","あいう♥らぶ"
1778,"VD","AIKa","OP","1",4745,"SILENT CITY~AIKa~","佐々木真里"
1778,"VD","AIKa","OP","2",14171,"真夏の星座","Mink"
1778,"VD","AIKa","ED","1",4804,"More Natural","小西寛子"
1778,"VD","AIKa","ED","2",14172,"Dance with me tonight","Punky Fruits!"
2698,"VD","AIKa Special TRIAL","OP","",8661,"碧の十字架(クルス)","岸恭子"
2698,"VD","AIKa Special TRIAL","ED","",8662,"ああ、人生耐えて花も咲く","大塚明夫,佐久間レイ"
9018,"VD","AIKa R-16:VIRGIN MISSION","OP","",44558,"Sailing To The Future","小清水亜美"
9018,"VD","AIKa R-16:VIRGIN MISSION","ED","",44559,"Rise","小清水亜美"
12231,"VD","AIKa ZERO","OP","",61144,"FLYING KID","小清水亜美"
12231,"VD","AIKa ZERO","ED","",61145,"Dream Hunter","小清水亜美"
15233,"TV","アイカツ!","OP","1",78072,"Signalize!","わか,ふうり,すなお,りすこ"
15233,"TV","アイカツ!","OP","2",82035,"ダイヤモンドハッピー","わか,ふうり,すなお"
15233,"TV","アイカツ!","OP","3",85021,"KIRA☆Power","わか,ふうり,すなお"
15233,"TV","アイカツ!","OP","4",87690,"SHINING LINE*","わか,ふうり,ゆな"
15233,"TV","アイカツ!","OP","5",90247,"Du-Du-Wa DO IT!!","るか,もな,みき,わか"
15233,"TV","アイカツ!","OP","6",92757,"Lovely Party Collection","るか,もな,みき"
15233,"TV","アイカツ!","OP","7",95420,"START DASH SENSATION","るか,もな,みき"
15233,"TV","アイカツ!","ED","1",78073,"カレンダーガール","わか,ふうり,すなお"
15233,"TV","アイカツ!","ED","2",82036,"ヒラリ/ヒトリ/キラリ","わか,ふうり,すなお,れみ,もえ,えり,ゆな,りすこ"
15233,"TV","アイカツ!","ED","3",85022,"オリジナルスター☆彡","わか,ふうり,すなお,れみ,もえ,えり,ゆな,りすこ"
15233,"TV","アイカツ!","ED","4",87691,"Precious","りすこ,わか,ふうり,もな"
15233,"TV","アイカツ!","ED","5",90248,"Good morning my dream","るか,もな,みき"
15233,"TV","アイカツ!","ED","6",92758,"チュチュ・バレリーナ","もな,るか,みき"
15233,"TV","アイカツ!","ED","7",95421,"lucky train!","るか,もな,みき"
15233,"TV","アイカツ!","ED","スポット放映",79966,"アリスブルーのキス","Rey"
17761,"MV","劇場版 アイカツ!","ED","",93658,"アイカツ!エンディングメドレー~PandaBoY MIX~","STAR☆ANIS"
22251,"TV","アイカツオンパレード!","OP","1",120792,"君のEntrance","逢来りん,松永あかね,木戸衣吹"
22251,"TV","アイカツオンパレード!","ED","1",120793,"アイドル活動!オンパレード! ver","わか,るか,逢来りん,松永あかね,木戸衣吹,せな"
22251,"TV","アイカツオンパレード!","ED","",78073,"カレンダーガール","わか,ふうり,すなお"
22251,"TV","アイカツオンパレード!","ED","",82036,"ヒラリ/ヒトリ/キラリ","わか,ふうり,すなお,れみ,もえ,えり,ゆな,りすこ"
22251,"TV","アイカツオンパレード!","ED","",85022,"オリジナルスター☆彡","わか,ふうり,すなお,れみ,もえ,えり,ゆな,りすこ"
22251,"TV","アイカツオンパレード!","ED","",87691,"Precious","りすこ,わか,ふうり,もな"
22251,"TV","アイカツオンパレード!","ED","",90248,"Good morning my dream","るか,もな,みき"
22251,"TV","アイカツオンパレード!","ED","",92758,"チュチュ・バレリーナ","もな,るか,みき"
22251,"TV","アイカツオンパレード!","ED","",95421,"lucky train!","るか,もな,みき"
22251,"TV","アイカツオンパレード!","ED","",99043,"episode Solo","るか,ななせ,かな,みほ"
22251,"TV","アイカツオンパレード!","ED","",102961,"So Beautiful Story","るか,せな"
22251,"TV","アイカツオンパレード!","ED","",105911,"Bon Bon Voyage!","りさ,みほ"
22251,"TV","アイカツオンパレード!","ED","",108094,"アリスブルーのキス ~Another Color~","豊永利行"
22251,"TV","アイカツオンパレード!","ED","",109333,"森のひかりのピルエット","るか,せな"
22251,"TV","アイカツオンパレード!","ED","",112131,"Believe it","田所あずさ,大橋彩香"
22251,"TV","アイカツオンパレード!","ED","",115847,"プライド","田所あずさ,大橋彩香"
22251,"TV","アイカツオンパレード!","ED","",118027,"Be star","日笠陽子"
19046,"TV","アイカツスターズ!","OP","1",99042,"スタートライン!","せな,りえ"
19046,"TV","アイカツスターズ!","OP","2",102960,"1,2,Sing for You!","せな,りえ,みき,かな"
19046,"TV","アイカツスターズ!","OP","3",103137,"スタージェット!","せな,りえ,みき,かな"
19046,"TV","アイカツスターズ!","OP","4",105910,"STARDOM!","せな,りえ,みき,かな"
19046,"TV","アイカツスターズ!","OP","5",109334,"MUSIC of DREAM!!!","せな,りえ,みき,かな"
19046,"TV","アイカツスターズ!","ED","1",99043,"episode Solo","るか,ななせ,かな,みほ"
19046,"TV","アイカツスターズ!","ED","2",102961,"So Beautiful Story","るか,せな"
19046,"TV","アイカツスターズ!","ED","3",105911,"Bon Bon Voyage!","りさ,みほ"
19046,"TV","アイカツスターズ!","ED","4",109333,"森のひかりのピルエット","るか,せな"
19046,"TV","アイカツスターズ!","ED","最終回に放映",114136,"スタートライン!","るか,せな"
23336,"TV","アイカツプラネット!","OP","1",129486,"Bloomy*スマイル","伊達花彩,小椋梨央,長尾寧音,渡邊璃音"
23336,"TV","アイカツプラネット!","ED","第1話のみ放映",129486,"Bloomy*スマイル","伊達花彩,小椋梨央,長尾寧音,渡邊璃音"
23336,"TV","アイカツプラネット!","ED","1",129489,"キラリ☆パーティ♪タイム","STARRY PLANET☆"
21041,"TV","アイカツフレンズ!","OP","1",112130,"ありがと⇄大丈夫","松永あかね,木戸衣吹"
21041,"TV","アイカツフレンズ!","OP","2",115846,"そこにしかないもの","松永あかね,木戸衣吹"
21041,"TV","アイカツフレンズ!","OP","3",118026,"ひとりじゃない!","松永あかね,木戸衣吹,美山加恋,二ノ宮ゆい"
21041,"TV","アイカツフレンズ!","ED","1",112131,"Believe it","田所あずさ,大橋彩香"
21041,"TV","アイカツフレンズ!","ED","2",115847,"プライド","田所あずさ,大橋彩香"
21041,"TV","アイカツフレンズ!","ED","3",118027,"Be star","日笠陽子"
21041,"TV","アイカツフレンズ!","ED","最終回に放映",112132,"アイカツフレンズ!","松永あかね,木戸衣吹"
18929,"MV","アイカツ! ミュージックアワード みんなで賞をもらっちゃいまSHOW!","ED","",92757,"Lovely Party Collection","るか,もな,みき"
20891,"TV","A.I.C.O. Incarnation","OP","",111044,"A.I.C.O.","TRUE"
20891,"TV","A.I.C.O. Incarnation","ED","",111045,"未知の彼方","白石晴香"
7315,"TV","アイシールド21","OP","1",33964,"BREAKTHROUGH","Coming Century"
7315,"TV","アイシールド21","OP","2",36221,"INNOCENCE","20th Century"
7315,"TV","アイシールド21","OP","3",39590,"Dang Dang","ZZ"
7315,"TV","アイシールド21","OP","4",43834,"BLAZE LINE","BACK-ON"
7315,"TV","アイシールド21","OP","5",47569,"炎のランニングバック","SHORT LEG SUMMER"
7315,"TV","アイシールド21","ED","1",33965,"BE FREE","Ricken's"
7315,"TV","アイシールド21","ED","2",35246,"Blaze Away","TRAX"
7315,"TV","アイシールド21","ED","3",36519,"GOAL","安良城紅"
7315,"TV","アイシールド21","ED","4",39995,"Run to Win!","泥門デビルバッツ"
7315,"TV","アイシールド21","ED","5",43835,"a day dreaming...","BACK-ON"
7315,"TV","アイシールド21","ED","6",45016,"FLOWER","BACK-ON"
7315,"TV","アイシールド21","ED","7",47570,"Song of Power","SHORT LEG SUMMER"
7315,"TV","アイシールド21","ED","スポット放映",39590,"Dang Dang","ZZ"
7315,"TV","アイシールド21","ED","最終回に放映",36221,"INNOCENCE","20th Century"
7237,"MV","アイシールド21 幻のゴールデンボウル","ED","",33490,"","(インストゥルメンタル)"
1683,"MV","アイ・シティ","ED","",1884,"アイ・シティ","上田由紀"
5,"TV","愛してナイト","OP","1",4139,"恋は突然","堀江美都子"
5,"TV","愛してナイト","ED","1",2168,"ぼくのジュリアーノ","平塚たかあき"
6686,"TV","愛してるぜベイベ★★","OP","",29747,"sunny side up","一青窈"
6686,"TV","愛してるぜベイベ★★","ED","",29748,"年年歳歳","一青窈"
5923,"VD","愛姉妹2~二人の果実~","ED","1",25621,"if","佐藤裕美"
4631,"VD","愛姉妹~二人の果実~","ED","1",18592,"オレンジの瞳","夕海なゆた"
4631,"VD","愛姉妹~二人の果実~","ED","2",20368,"もう一度","三沢恵巨"
4631,"VD","愛姉妹~二人の果実~","ED","3",20369,"キミが見た空","羽鳥かなた"
6,"TV","愛少女ポリアンナ物語","OP","1",1483,"し・あ・わ・せ カーニバル","工藤夕貴"
6,"TV","愛少女ポリアンナ物語","OP","2",3751,"微笑むあなたに会いたい","工藤夕貴"
6,"TV","愛少女ポリアンナ物語","ED","1",2581,"愛になりたい","工藤夕貴"
6,"TV","愛少女ポリアンナ物語","ED","2",3021,"幸福","工藤夕貴"
5560,"MV","ICE AGE","ED","日本語吹替版",23732,"一雫","ZONE"
10983,"MV","ICE AGE2","ED","日本語吹替版",54253,"ICE AGE~氷河期の子供たち~","岸谷香"
7939,"VD","I''s Pure","OP","",38069,"二人のI''s＜アイズ＞~i will follow~","Mizuho"
7939,"VD","I''s Pure","ED","",38070,"小さな翼~eyes for you~","Mizuho"
23098,"TV","aiseki MOGOL GIRL","ED","",127416,"aikiseki girls","原奈津子"
23287,"TV","アイ★チュウ","OP","第1話のみ放映",129275,"一番星の歌~未来のレジェンド伝説~","アイチュウ"
23287,"TV","アイ★チュウ","OP","1",129033,"Rainbow☆Harmony","アイチュウリーダーズ"
23287,"TV","アイ★チュウ","ED","1",129276,"Singing!Swinging!","アイチュウリーダーズ"
23287,"TV","アイ★チュウ","ED","最終回に放映",130671,"We are I★CHU!~29人Ver.~","アイチュウ"
2256,"MV","あいつとララバイ","OP","",7635,"抱きしめてよRain","吉永優"
2256,"MV","あいつとララバイ","ED","",7636,"涙のSweet Angel","吉永優"
20170,"TV","ID-0","OP","",105913,"ID-0","佐咲紗花"
20170,"TV","ID-0","ED","",105914,"Stellar Compass","影山ヒロノブ"
7,"TV","愛天使伝説ウエディングピーチ","OP","1",3944,"夢見る愛天使","FURIL"
7,"TV","愛天使伝説ウエディングピーチ","OP","2",814,"Wedding Wars~愛は炎~","中島えりな"
7,"TV","愛天使伝説ウエディングピーチ","ED","1",46,"21世紀のジュリエット","FURIL"
7,"TV","愛天使伝説ウエディングピーチ","ED","2",1051,"ヴァージンラブ","FURIL"
7,"TV","愛天使伝説ウエディングピーチ","ED","最終回に放映",814,"Wedding Wars~愛は炎~","中島えりな"
17549,"TV","愛・天地無用!","ED","1",90314,"愛してるって叫びましょ!!","東山奈央"
17549,"TV","愛・天地無用!","ED","2",90379,"キミと見た花 キミと見た空","東山奈央,大地葉"
17549,"TV","愛・天地無用!","ED","3",91307,"キミのままで!","優木かな,M・A・O,深田愛衣"
17549,"TV","愛・天地無用!","ED","4",91309,"型破りサイエンス","佐藤あずさ,田辺留依"
17549,"TV","愛・天地無用!","ED","5",91310,"イマココニイル","大地葉"
17549,"TV","愛・天地無用!","ED","6",91311,"トラブルガールズ","大地葉,佐藤あずさ,田辺留依"
17549,"TV","愛・天地無用!","ED","7",91312,"Best Party","東山奈央,優木かな,M・A・O,深田愛衣"
17549,"TV","愛・天地無用!","ED","8",91313,"もも並木","東山奈央"
17549,"TV","愛・天地無用!","ED","",90380,"ビバ!乙女の大冒険っ!!","乙女新党"
23314,"TV","アイドールズ!","OP","",129322,"WE ARE THE ONE","アイドールズ!"
23314,"TV","アイドールズ!","ED","",129323,"夢みてさめても","アイドールズ!"
23314,"TV","アイドールズ!","ED","最終回に放映",130438,"Special Story","アイドールズ!"
1690,"MV","愛と剣のキャメロット まんが家マリナ タイムスリップ事件","OP","",8186,"MOON LIGHT伝説","池田政典"
1690,"MV","愛と剣のキャメロット まんが家マリナ タイムスリップ事件","ED","",8187,"Amour","池田政典"
9,"TV","愛と勇気のピッグガールとんでぶーりん","OP","1",2596,"愛はカッコわるい","パーキッツ"
9,"TV","愛と勇気のピッグガールとんでぶーりん","ED","1",2069,"ぶーりん あ・ら・もーど","パーキッツ"
22922,"TV","IDOLY PRIDE","OP","",129184,"IDOLY PRIDE","星見プロダクション"
22922,"TV","IDOLY PRIDE","ED","第1話のみ放映",129184,"IDOLY PRIDE","星見プロダクション"
22922,"TV","IDOLY PRIDE","ED","1",129185,"The Sun, Moon and Stars","星見プロダクション"
22922,"TV","IDOLY PRIDE","ED","スポット放映",129531,"The Last Chance(莉央&葵ver.)","戸松遥,高垣彩陽"
22922,"TV","IDOLY PRIDE","ED","スポット放映",129686,"réaliser","TRINITYAiLE"
22922,"TV","IDOLY PRIDE","ED","スポット放映",130019,"Shining Days","サニーピース"
22922,"TV","IDOLY PRIDE","ED","スポット放映",130154,"Daytime Moon","月のテンペスト"
22922,"TV","IDOLY PRIDE","ED","スポット放映",130331,"song for you","サニーピース"
22922,"TV","IDOLY PRIDE","ED","最終回に放映",130698,"Pray for you","星見プロダクション"
20745,"TV","アイドリッシュセブン","OP","",110494,"WiSH VOYAGE","IDOLiSH7"
20745,"TV","アイドリッシュセブン","ED","1",110715,"Heavenly Visitor","TRIGGER"
20745,"TV","アイドリッシュセブン","ED","スポット放映",110494,"WiSH VOYAGE","IDOLiSH7"
20745,"TV","アイドリッシュセブン","ED","スポット放映",111153,"TODAY IS...","IDOLiSH7"
20745,"TV","アイドリッシュセブン","ED","スポット放映",111620,"雨","MEZZO\""
20745,"TV","アイドリッシュセブン","ED","最終回に放映",110494,"WiSH VOYAGE","IDOLiSH7"
22504,"TV","アイドリッシュセブン Second BEAT!","OP","",124174,"DiSCOVER THE FUTURE","IDOLiSH7"
22504,"TV","アイドリッシュセブン Second BEAT!","ED","1",124175,"ミライノーツを奏でて","Re:vale"
22504,"TV","アイドリッシュセブン Second BEAT!","ED","スポット放映",108082,"DESTINY","TRIGGER"
22504,"TV","アイドリッシュセブン Second BEAT!","ED","スポット放映",128492,"It's ALL-for you-","立花慎之介"
20961,"WA","アイドリッシュセブン Vibrato","ED","1",108082,"DESTINY","TRIGGER"
20961,"WA","アイドリッシュセブン Vibrato","ED","2",107988,"PARTY TIME TOGETHER","IDOLiSH7"
20961,"WA","アイドリッシュセブン Vibrato","ED","最終回に放映",100951,"NATSU☆しようぜ!","IDOLiSH7"
16009,"VD","アイドル候補生","ED","",7519,"インストゥルメンタル曲(曲名不明)","(インストゥルメンタル)"
16009,"VD","アイドル候補生","ED","",104844,"アイドル候補生 stage.1","(インストゥルメンタル)"
17863,"VD","アイドル☆シスター","OP","",91644,"君と恋とキスとわたし","プラチナ☆キッス"
17863,"VD","アイドル☆シスター","ED","",91645,"君と恋とキスとわたし E-Trick MIX","プラチナ☆キッス"
19800,"TV","アイドル事変","OP","",103627,"歌え!愛の公約","SMILE♥X"
19800,"TV","アイドル事変","ED","1",103628,"Respect","with"
19800,"TV","アイドル事変","ED","最終回に放映",105602,"ときめき Full Throttle","SMILE♥X"
20132,"TV","アイドルタイム プリパラ","OP","1",105698,"Just be yourself","わーすた"
20132,"TV","アイドルタイム プリパラ","OP","2",109329,"最上級ぱらどっくす","わーすた"
20132,"TV","アイドルタイム プリパラ","OP","3",111006,"Memorial","i☆Ris"
20132,"TV","アイドルタイム プリパラ","ED","1",105699,"アイドル:タイム!!","伊達朱里紗,茜屋日海夏"
20132,"TV","アイドルタイム プリパラ","ED","2",107426,"アイドル:タイム!!","SoLaMi♡Dressing"
20132,"TV","アイドルタイム プリパラ","ED","3",109332,"ハートフル♡ドリーム","MY☆DREAM"
20132,"TV","アイドルタイム プリパラ","ED","4",111007,"WELCOME TO DREAM","わーすた"
20132,"TV","アイドルタイム プリパラ","ED","スポット放映",95419,"レインボウ・メロディー♪","SoLaMi♡SMILE,Dressing Pafé,佐藤あずさ,上田麗奈,斎賀みつき,アロマゲドン"
20132,"TV","アイドルタイム プリパラ","ED","最終回に放映",110598,"Believe My DREAM!","MY☆DREAM"
10,"TV","アイドル天使ようこそようこ","OP","1",4077,"陽春のパッセージ","田中陽子"
10,"TV","アイドル天使ようこそようこ","ED","1",2631,"一人にさせない","田中陽子"
10,"TV","アイドル天使ようこそようこ","ED","最終回に放映",4075,"陽のあたるステーション","田中陽子"
11,"TV","アイドル伝説えり子","OP","1",4111,"涙の半分","田村英里子"
11,"TV","アイドル伝説えり子","ED","1",795,"UNCHAINED HEART","橋本舞子"
11,"TV","アイドル伝説えり子","ED","最終回に放映",508,"May be Dream","田村英里子"
3735,"VD","アイドル・ファイト スーチーパイ♡II ~いかにも第一話ってカンジ?~","ED","",12359,"It's a World Birthday","かないみか"
1803,"VD","アイドル・プロジェクト[第1期]","OP","1",4842,"Don't Stop! -ス・テ・キにめぐり会いたい-","IDOL♡Project"
4830,"VD","アイドル・プロジェクト[第2期]","ED","1",4865,"愛だ!?正義だ!?ぱるぷりん","金丸日向子"
1803,"VD","アイドル・プロジェクト[第1期]","ED","1",4882,"君のハートを狙いうち","IDOL♡Project"
1803,"VD","アイドル・プロジェクト[第1期]","ED","2",4843,"AGAIN","折笠愛"
4830,"VD","アイドル・プロジェクト[第2期]","ED","2",4883,"星のメロディー","國府田マリ子"
4830,"VD","アイドル・プロジェクト[第2期]","ED","3",4882,"君のハートを狙いうち","IDOL♡Project"
4830,"VD","アイドル・プロジェクト[第2期]","ED","4",4884,"Angel Kiss","國府田マリ子,岩坪理江"
4830,"VD","アイドル・プロジェクト[第2期]","ED","5",4885,"オ・ン・ナの果実","かないみか,こおろぎさとみ,金丸日向子"
4830,"VD","アイドル・プロジェクト[第2期]","ED","6",4886,"FOLLOW THE HEART","久川綾"
4830,"VD","アイドル・プロジェクト[第2期]","ED","7",4887,"Cotton Boy","井上喜久子"
4830,"VD","アイドル・プロジェクト[第2期]","ED","8",4888,"カ・ン・セ・ツ♡キッス","金丸日向子"
4830,"VD","アイドル・プロジェクト[第2期]","ED","9",4889,"Crystal Generation","久川綾"
4830,"VD","アイドル・プロジェクト[第2期]","ED","10",4890,"ビーナス誕生!","かないみか"
4830,"VD","アイドル・プロジェクト[第2期]","ED","11",4891,"実力派に愛のエールを","こおろぎさとみ"
4830,"VD","アイドル・プロジェクト[第2期]","ED","12",4892,"みんな恋のせいね","岩坪理江"
13,"VD","アイドル防衛隊ハミングバード","OP","",484,"LOVE WING","草地章江"
13,"VD","アイドル防衛隊ハミングバード","ED","1",4880,"ふられたなんて思ってないから","ハミングバード"
1765,"VD","アイドル防衛隊ハミングバード'94夏","OP","",4710,"ロマンスに秒読み","草地章江"
1765,"VD","アイドル防衛隊ハミングバード'94夏","ED","",620,"RAINBOW FORCES","ハミングバード"
1766,"VD","アイドル防衛隊ハミングバード'95 風の唄","OP","",540,"MY BLUE PARADISE","草地章江"
1766,"VD","アイドル防衛隊ハミングバード'95 風の唄","ED","",4711,"失恋前夜","ハミングバード"
1932,"VD","アイドル防衛隊ハミングバード'95 夢の場所へ","OP","",540,"MY BLUE PARADISE","草地章江"
1932,"VD","アイドル防衛隊ハミングバード'95 夢の場所へ","ED","",4898,"夢の場所へ","ハミングバード"
13595,"TV","THE iDOLM@STER","OP","1",69395,"READY!!(M@STER VERSION)","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","OP","2",71450,"CHANGE!!!!(M@STER VERSION)","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","1",69921,"The world is all one!!","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","2",70065,"ポジティブ!(M@STER VERSION)","釘宮理恵,仁後真耶子"
13595,"TV","THE iDOLM@STER","ED","3",70108,"First Stage(M@STER VERSION)","浅倉杏美,平田宏美"
13595,"TV","THE iDOLM@STER","ED","4",70350,"蒼い鳥(M@STER VERSION)~TV ARRANGE~","今井麻美"
13595,"TV","THE iDOLM@STER","ED","5",70744,"MOONY","今井麻美,たかはし智秋,平田宏美,長谷川明子,沼倉愛美,若林直美"
13595,"TV","THE iDOLM@STER","ED","6",70745,"THE IDOLM@STER","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","7",45977,"おはよう!!朝ご飯(M@STER VERSION)","仁後真耶子"
13595,"TV","THE iDOLM@STER","ED","8",70833,"ハニカミ!ファーストバイト","竜宮小町"
13595,"TV","THE iDOLM@STER","ED","9",56256,"黎明スターライン","下田麻美"
13595,"TV","THE iDOLM@STER","ED","10",71129,"GO MY WAY!!","765+876PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","11",70397,"START!!","中村繪里子"
13595,"TV","THE iDOLM@STER","ED","12",66538,"ショッキングな彼","長谷川明子"
13595,"TV","THE iDOLM@STER","ED","13",71498,"i","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","14",71613,"Colorful Days(M@STER VERSION)","中村繪里子,長谷川明子,今井麻美,下田麻美,原由実,沼倉愛美"
13595,"TV","THE iDOLM@STER","ED","15",71728,"MEGARE!(M@STER VERSION)","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","16",71838,"Brand New Day!","沼倉愛美"
13595,"TV","THE iDOLM@STER","ED","17",71955,"チアリングレター","平田宏美"
13595,"TV","THE iDOLM@STER","ED","18",46858,"魔法をかけて!(M@STER VERSION) 律子ソロ・リミックス","若林直美"
13595,"TV","THE iDOLM@STER","ED","19",70422,"風花","原由実"
13595,"TV","THE iDOLM@STER","ED","20",72376,"約束(TV VERSION)","今井麻美,中村繪里子,長谷川明子,仁後真耶子,浅倉杏美,平田宏美,下田麻美,釘宮理恵,たかはし智秋,原由実,沼倉愛美"
13595,"TV","THE iDOLM@STER","ED","21",47403,"空","滝田樹里"
13595,"TV","THE iDOLM@STER","ED","22",72615,"Happy Christmas","中村繪里子,今井麻美,下田麻美,たかはし智秋,原由実,沼倉愛美"
13595,"TV","THE iDOLM@STER","ED","23",72728,"見つめて(TV VERSION)","(インストゥルメンタル)"
13595,"TV","THE iDOLM@STER","ED","24",72791,"まっすぐ","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","最終回に放映",72880,"いっしょ(NEW VERSION)","765PRO ALLSTARS"
13595,"TV","THE iDOLM@STER","ED","OVA使用",90302,"my song","765PRO ALLSTARS"
20416,"TV","アイドルマスター SideM","OP","1",107569,"Reason!!","315 STARS"
20416,"TV","アイドルマスター SideM","ED","1",92968,"DRIVE A LIVE(DRAMATIC STARS ver.)","DRAMATIC STARS"
